Date,Custody/AOR/Facility,Confirmed cases currently under isolation or monitoring,Detainee deaths,Total confirmed COVID-19 cases
3/27/2020,Bergen County Jail,,,1
3/27/2020,Essex County Jail,,,1
3/28/2020,Bergen County Jail,,,1
3/28/2020,Essex County Jail,,,1
3/29/2020,Bergen County Jail,,,1
3/29/2020,Essex County Jail,,,1
3/30/2020,Bergen County Jail,,,2
3/30/2020,Essex County Jail,,,1
3/30/2020,Hudson County Jail,,,1
3/31/2020,Bergen County Jail,,,2
3/31/2020,Essex County Jail,,,1
3/31/2020,Hudson County Jail,,,1
4/1/2020,Bergen County Jail,,,2
4/1/2020,Essex County Jail,,,1
4/1/2020,Hudson County Jail,,,1
4/2/2020,Bergen County Jail,,,2
4/2/2020,Essex County Jail,,,1
4/2/2020,Hudson County Jail,,,2
4/3/2020,Bergen County Jail,,,2
4/3/2020,Essex County Jail,,,1
4/3/2020,Hudson County Jail,,,2
4/4/2020,Bergen County Jail,,,2
4/4/2020,Essex County Jail,,,1
4/4/2020,Hudson County Jail,,,2
4/4/2020,La Palma Correctional Facility,,,1
4/4/2020,Pike County Correctional Facility,,,1
4/4/2020,Pine Prairie ICE Processing Center,,,1
4/6/2020,Bergen County Jail,,,2
4/6/2020,Essex County Jail,,,1
4/6/2020,Hudson County Jail,,,2
4/6/2020,La Palma Correctional Facility,,,1
4/6/2020,Pike County Correctional Facility,,,4
4/6/2020,Pine Prairie ICE Processing Center,,,1
4/6/2020,York County Prison,,,1
4/6/2020,Otay Mesa Detention Center (San Diego CDF),,,1
4/7/2020,Bergen County Jail,,,2
4/7/2020,Essex County Jail,,,2
4/7/2020,Hudson County Jail,,,2
4/7/2020,La Palma Correctional Facility,,,2
4/7/2020,LaSalle ICE Processing Center - Olla,,,1
4/7/2020,Pike County Correctional Facility,,,5
4/7/2020,Pine Prairie ICE Processing Center,,,1
4/7/2020,Saint Clair County Jail,,,1
4/7/2020,York County Prison,,,1
4/7/2020,Otay Mesa Detention Center (San Diego CDF),,,1
4/7/2020,at local hospital,,,1
4/8/2020,Bergen County Jail,,,2
4/8/2020,Elizabeth Detention Center,,,7
4/8/2020,Essex County Jail,,,2
4/8/2020,Hudson County Jail,,,4
4/8/2020,La Palma Correctional Facility,,,2
4/8/2020,LaSalle ICE Processing Center - Olla,,,1
4/8/2020,Pike County Correctional Facility,,,5
4/8/2020,Pine Prairie ICE Processing Center,,,1
4/8/2020,Saint Clair County Jail,,,1
4/8/2020,York County Prison,,,1
