"","Date","Total.Detained","Total.Cumulative.COVID.19","Total.Tested","Total.Deaths","Total.COVID.19.Confirmed.in.Custody"
"1",2020-03-27,NA,2,NA,NA,NA
"2",2020-03-28,NA,2,NA,NA,NA
"3",2020-03-29,NA,2,NA,NA,NA
"4",2020-03-30,NA,4,NA,NA,NA
"5",2020-03-31,NA,4,NA,NA,NA
"6",2020-04-01,NA,4,NA,NA,NA
"7",2020-04-02,NA,6,NA,NA,NA
"8",2020-04-04,NA,8,NA,NA,NA
"9",2020-04-06,NA,13,NA,NA,NA
"10",2020-04-07,NA,13,NA,NA,NA
"11",2020-04-08,NA,19,NA,NA,NA
"12",2020-04-09,NA,35,NA,NA,NA
"13",2020-04-10,NA,50,NA,NA,NA
"14",2020-04-11,NA,62,NA,NA,NA
"15",2020-04-12,NA,61,NA,NA,NA
"16",2020-04-13,NA,61,NA,NA,NA
"17",2020-04-14,NA,72,NA,NA,NA
"18",2020-04-15,NA,89,NA,NA,NA
"19",2020-04-16,NA,100,NA,NA,NA
"20",2020-04-17,NA,105,NA,NA,NA
"21",2020-04-18,NA,124,NA,NA,NA
"22",2020-04-19,NA,124,NA,NA,NA
"23",2020-04-20,NA,220,NA,NA,NA
"24",2020-04-21,NA,250,NA,NA,NA
"25",2020-04-22,NA,287,NA,NA,NA
"26",2020-04-23,NA,287,NA,NA,NA
"27",2020-04-24,NA,332,NA,NA,NA
"28",2020-04-25,29675,332,NA,NA,NA
"29",2020-04-26,29675,332,NA,NA,NA
"30",2020-04-27,29675,373,NA,NA,NA
"31",2020-04-28,29675,360,NA,NA,NA
"32",2020-04-29,29675,425,705,NA,NA
"33",2020-04-30,29675,490,1030,NA,NA
"34",2020-05-01,29675,490,1030,NA,NA
"35",2020-05-02,29675,522,1073,NA,NA
"36",2020-05-03,29675,522,1073,NA,NA
"37",2020-05-04,29675,606,1285,NA,NA
"38",2020-05-05,29675,606,1285,NA,NA
"39",2020-05-06,29675,705,1460,NA,NA
"40",2020-05-07,29675,705,1460,NA,NA
"41",2020-05-08,29675,753,1528,NA,NA
"42",2020-05-09,27908,788,1528,NA,NA
"43",2020-05-10,26660,788,1593,NA,NA
"44",2020-05-11,26660,869,1686,NA,NA
"45",2020-05-13,26660,943,1788,NA,NA
"46",2020-05-14,26660,943,1788,NA,NA
"47",2020-05-15,26660,986,2045,NA,NA
"48",2020-05-16,26660,986,2045,NA,NA
"49",2020-05-17,26660,986,2045,NA,NA
"50",2020-05-18,26660,986,2045,NA,NA
"51",2020-05-19,26660,1073,2172,NA,NA
"52",2020-05-20,26660,1145,2194,NA,NA
"53",2020-05-21,26660,1181,2368,NA,NA
"54",2020-05-22,25911,1201,2394,NA,NA
"55",2020-05-23,25911,1201,2394,NA,NA
"56",2020-05-24,25911,1201,2394,NA,NA
"57",2020-05-25,25911,1201,2394,NA,NA
"58",2020-05-26,25911,1312,2535,NA,NA
"59",2020-05-27,25911,1327,2620,NA,NA
"60",2020-05-28,25911,1392,2670,NA,NA
"61",2020-05-29,25911,1392,2670,NA,NA
"62",2020-05-30,25421,1406,2781,NA,NA
"63",2020-05-31,25421,1406,2781,NA,NA
"64",2020-06-01,25421,1461,2781,2,754
"65",2020-06-02,25421,1461,2781,2,754
"66",2020-06-03,25421,1579,3092,2,813
"67",2020-06-04,25421,1579,3092,2,813
"68",2020-06-05,25421,1595,3113,2,818
"69",2020-06-06,24713,1623,3146,2,781
"70",2020-06-07,24713,1623,3146,2,781
"71",2020-06-08,24713,1709,5096,2,838
"72",2020-06-09,24713,1709,5096,2,838
"73",2020-06-10,24713,1780,5096,2,788
"74",2020-06-11,24713,1810,5096,2,801
"75",2020-06-12,24713,1849,5096,2,785
"76",2020-06-13,24041,1849,5096,2,785
"77",2020-06-14,24041,1849,5096,2,785
"78",2020-06-15,24041,2016,5096,2,929
"79",2020-06-16,24041,2016,5096,2,929
"80",2020-06-17,24041,2110,7364,2,871
"81",2020-06-18,24041,2110,7364,2,871
"82",2020-06-19,24041,2210,7364,2,818
"83",2020-06-20,24041,2210,7364,2,818
"84",2020-06-21,24041,2210,7364,2,818
"85",2020-06-22,24041,2343,8858,2,863
"86",2020-06-23,24041,2403,8858,2,837
"87",2020-06-24,23429,2403,8858,2,837
"88",2020-06-25,23429,2489,8858,2,899
"89",2020-06-26,23429,2521,8858,2,810
"90",2020-06-27,22805,2572,8858,2,751
"91",2020-06-28,22805,2572,8858,2,751
"92",2020-06-29,22805,2675,10513,2,793
"93",2020-06-30,22805,2675,10513,2,793
"94",2020-07-01,22805,2742,10513,2,752
"95",2020-07-02,22805,2742,10513,2,752
"96",2020-07-03,22805,2742,10513,2,752
"97",2020-07-04,22579,2742,10513,2,752
"98",2020-07-05,22579,2742,10513,2,752
"99",2020-07-06,22579,2742,10513,2,752
"100",2020-07-07,22579,2949,11828,2,836
"101",2020-07-08,22579,3007,11828,2,835
"102",2020-07-09,22579,3077,11828,2,871
"103",2020-07-10,22835,3090,11828,2,883
"104",2020-07-11,22340,3090,11828,2,883
"105",2020-07-12,22340,3090,11828,2,883
"106",2020-07-13,22340,3090,11828,2,883
"107",2020-07-14,22340,3471,13562,3,1175
"108",2020-07-15,22340,3567,13562,3,1110
"109",2020-07-16,22340,3567,13562,3,1110
"110",2020-07-17,22405,3567,13562,3,1110
"111",2020-07-18,22142,3596,13562,3,967
"112",2020-07-19,22142,3596,13562,3,967
"113",2020-07-20,22142,3657,16503,3,924
"114",2020-07-21,22142,3657,16503,3,924
"115",2020-07-22,22142,3736,16503,3,926
"116",2020-07-23,22142,3781,16503,3,966
"117",2020-07-24,22067,3780,16503,3,969
"118",2020-07-25,21884,3780,16503,3,969
"119",2020-07-26,21884,3780,16503,3,969
"120",2020-07-27,21884,3835,19092,3,940
"121",2020-07-28,21884,3868,19092,3,963
"122",2020-07-29,21884,3868,19092,3,963
"123",2020-07-30,21884,3936,19092,3,944
"124",2020-07-31,21888,3936,19092,3,944
"125",2020-08-01,21888,3936,19092,3,944
"126",2020-08-02,21888,3936,19092,3,944
"127",2020-08-03,21888,4038,21085,3,961
"128",2020-08-04,21888,4038,21085,3,961
"129",2020-08-05,21546,4131,21085,3,862
"130",2020-08-06,21546,4192,21085,3,917
"131",2020-08-07,21546,4250,21085,4,911
"132",2020-08-08,21546,4250,21085,4,911
"133",2020-08-09,21546,4250,21085,4,911
"134",2020-08-10,21494,4417,22580,4,1065
"135",2020-08-11,21494,4444,22580,4,1084
"136",2020-08-12,21494,4444,22580,4,1084
"137",2020-08-13,21118,4462,22580,5,1078
"138",2020-08-14,21402,4568,22580,5,1069
"139",2020-08-15,21402,4568,22580,5,1069
"140",2020-08-16,21402,4568,22580,5,1069
"141",2020-08-17,21402,4657,23964,5,1124
"142",2020-08-18,21402,4702,23964,5,1052
"143",2020-08-19,21402,4702,23964,5,1052
"144",2020-08-20,21402,4743,23964,5,801
"145",2020-08-21,21402,4743,23964,5,795
"146",2020-08-22,21402,4743,23964,5,795
"147",2020-08-23,21402,4743,23964,5,795
"148",2020-08-24,21066,4872,26490,5,914
"149",2020-08-25,21066,4924,26490,5,951
"150",2020-08-26,21066,5020,26490,5,859
"151",2020-08-27,21066,5048,26490,5,877
"152",2020-08-28,21066,5300,26490,5,850
"153",2020-08-29,21066,5300,26490,5,850
"154",2020-08-30,21066,5300,26490,5,850
"155",2020-08-31,20713,5355,28888,6,814
"156",2020-09-02,20713,5416,28888,6,841
"157",2020-09-03,20713,5416,28888,6,841
"158",2020-09-04,20713,5469,28888,6,468
"159",2020-09-05,20713,5469,28888,6,468
"160",2020-09-06,20713,5469,28888,6,468
"161",2020-09-07,20713,5469,28888,6,468
"162",2020-09-08,20302,5605,32539,6,587
"163",2020-09-09,20302,5640,32539,6,612
"164",2020-09-10,20302,5670,32539,6,627
"165",2020-09-11,20302,5686,32539,6,616
"166",2020-09-12,20302,5686,32539,6,616
